,,,time,reward,length,instance,episode,checkpoint
0,3x3_5_inst,2,0.19591975212097168,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,3,0.23857522010803223,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,4,0.19344067573547363,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,5,0.17012810707092285,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,6,0.19740867614746094,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,7,0.20732760429382324,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,8,0.19294309616088867,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,9,0.19591999053955078,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_5_inst,10,0.22270512580871582,0.8181818181818181,9,3x3_5_inst,0,3x3_5_inst/0
0,3x3_6_inst,1,0.18798351287841797,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,2,0.1775679588317871,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,3,0.23807954788208008,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,4,0.23807930946350098,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,5,0.20087981224060059,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,6,0.20137667655944824,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,7,0.2137761116027832,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,8,0.19691181182861328,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,9,0.20187139511108398,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_6_inst,10,0.2187364101409912,1.0,9,3x3_6_inst,0,3x3_6_inst/0
0,3x3_7_inst,1,0.2236952781677246,0.9333333333333333,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,2,0.2549436092376709,0.9333333333333333,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,3,0.21327948570251465,0.9333333333333333,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,4,0.23559951782226562,0.9333333333333333,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,5,0.3293447494506836,0.9333333333333333,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,6,0.2931358814239502,1.0,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,7,0.23758268356323242,1.0,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,8,0.2628774642944336,1.0,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,9,0.24948716163635254,1.0,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_7_inst,10,0.20335984230041504,1.0,9,3x3_7_inst,0,3x3_7_inst/0
0,3x3_8_inst,1,0.32289624214172363,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,2,0.37199902534484863,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,3,0.2901585102081299,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,4,0.3581125736236572,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,5,0.26535868644714355,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,6,0.22964763641357422,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,7,0.30057573318481445,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,8,0.20931172370910645,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,9,0.20831990242004395,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_8_inst,10,0.3283514976501465,0.9032258064516129,9,3x3_8_inst,0,3x3_8_inst/0
0,3x3_9_inst,1,0.8417105674743652,0.5666666666666667,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,2,0.2529585361480713,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,3,0.38886332511901855,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,4,0.282224178314209,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,5,0.24055957794189453,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,6,0.27428746223449707,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,7,0.24750351905822754,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,8,0.2559351921081543,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,9,0.23460793495178223,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_9_inst,10,0.23361515998840332,1.0,9,3x3_9_inst,0,3x3_9_inst/0
0,3x3_10_inst,1,0.22419071197509766,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,2,0.25345611572265625,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,3,0.25444841384887695,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,4,0.21923089027404785,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,5,0.26238393783569336,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,6,0.2236957550048828,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,7,0.21923112869262695,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,8,0.2167510986328125,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,9,0.21923184394836426,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_10_inst,10,0.2167513370513916,1.0,9,3x3_10_inst,0,3x3_10_inst/0
0,3x3_11_inst,1,0.24452710151672363,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,2,0.368527889251709,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,3,0.23410987854003906,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,4,0.2608954906463623,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
0,3x3_11_inst,5,0.2499837875366211,0.9117647058823529,9,3x3_11_inst,0,3x3_11_inst/0
