,,,time,reward,length,instance,episode,checkpoint
0,10x10_17_inst,10x10_3_inst,46.33266639709473,0.7816091954022988,102,10x10_3_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_3_inst,52.22408604621887,0.735632183908046,111,10x10_3_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_3_inst,49.776203632354736,0.8390804597701149,101,10x10_3_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_4_inst,59.163973569869995,0.7857142857142857,113,10x10_4_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_4_inst,58.58738875389099,0.6938775510204082,111,10x10_4_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_4_inst,51.22911763191223,0.7857142857142857,103,10x10_4_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_4_inst,56.791162967681885,0.7040816326530612,101,10x10_4_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_4_inst,51.759613037109375,0.8163265306122449,100,10x10_4_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_4_inst,55.29576659202576,0.6836734693877551,100,10x10_4_inst,0,10x10_5_inst/0
0,10x10_6_inst,10x10_4_inst,52.84009385108948,0.826530612244898,100,10x10_4_inst,0,10x10_6_inst/0
0,10x10_7_inst,10x10_4_inst,54.08811712265015,0.7346938775510203,100,10x10_4_inst,0,10x10_7_inst/0
0,10x10_8_inst,10x10_4_inst,48.07312750816345,0.7755102040816326,100,10x10_4_inst,0,10x10_8_inst/0
0,10x10_9_inst,10x10_4_inst,60.04455280303955,0.7244897959183674,110,10x10_4_inst,0,10x10_9_inst/0
0,10x10_10_inst,10x10_4_inst,58.81002163887024,0.5,112,10x10_4_inst,0,10x10_10_inst/0
0,10x10_11_inst,10x10_4_inst,55.66364240646362,0.6734693877551021,102,10x10_4_inst,0,10x10_11_inst/0
0,10x10_12_inst,10x10_4_inst,48.99606800079346,0.8163265306122449,101,10x10_4_inst,0,10x10_12_inst/0
0,10x10_13_inst,10x10_4_inst,56.75749135017395,0.826530612244898,103,10x10_4_inst,0,10x10_13_inst/0
0,10x10_14_inst,10x10_4_inst,47.197861433029175,0.7551020408163265,101,10x10_4_inst,0,10x10_14_inst/0
0,10x10_15_inst,10x10_4_inst,58.85038757324219,0.7244897959183674,104,10x10_4_inst,0,10x10_15_inst/0
0,10x10_16_inst,10x10_4_inst,48.41603183746338,0.7959183673469388,100,10x10_4_inst,0,10x10_16_inst/0
0,10x10_17_inst,10x10_4_inst,52.9382107257843,0.5306122448979591,101,10x10_4_inst,0,10x10_17_inst/0
0,10x10_18_inst,10x10_4_inst,51.92048668861389,0.8877551020408163,100,10x10_4_inst,0,10x10_18_inst/0
0,10x10_19_inst,10x10_4_inst,50.862040519714355,0.8163265306122449,101,10x10_4_inst,0,10x10_19_inst/0
0,10x10_0_inst,10x10_5_inst,56.94226670265198,0.6288659793814433,121,10x10_5_inst,0,10x10_0_inst/0
0,10x10_1_inst,10x10_5_inst,54.67118787765503,0.5051546391752577,121,10x10_5_inst,0,10x10_1_inst/0
0,10x10_2_inst,10x10_5_inst,43.74903464317322,0.7422680412371134,100,10x10_5_inst,0,10x10_2_inst/0
0,10x10_3_inst,10x10_5_inst,49.19539213180542,0.6597938144329897,100,10x10_5_inst,0,10x10_3_inst/0
0,10x10_4_inst,10x10_5_inst,40.35215926170349,0.7422680412371134,100,10x10_5_inst,0,10x10_4_inst/0
0,10x10_5_inst,10x10_5_inst,41.18844127655029,0.7938144329896908,100,10x10_5_inst,0,10x10_5_inst/0
